Date,price
9/13/2016,95.629997
9/14/2016,95.330002
9/15/2016,95.290001
9/16/2016,96.110001
9/19/2016,95.839996
9/20/2016,96.019997
9/21/2016,95.660004
9/22/2016,95.449997
9/23/2016,95.480003
9/26/2016,95.309998
9/27/2016,95.440002
9/28/2016,95.43
9/29/2016,95.540001
9/30/2016,95.459999
10/3/2016,95.75
10/4/2016,96.120003
10/5/2016,96.129997
10/6/2016,96.660004
10/7/2016,96.519997
10/11/2016,97.699997
10/12/2016,97.970001
10/13/2016,97.519997
10/14/2016,98.019997
10/17/2016,97.889999
10/18/2016,97.900002
10/19/2016,97.870003
10/20/2016,98.32
10/21/2016,98.699997
10/24/2016,98.669998
10/25/2016,98.720001
10/26/2016,98.629997
10/27/2016,98.889999
10/28/2016,98.349998
10/31/2016,98.449997
11/1/2016,97.699997
11/2/2016,97.400002
11/3/2016,97.160004
11/4/2016,97.07
11/7/2016,97.779999
11/8/2016,97.860001
11/9/2016,98.5
11/10/2016,98.790001
11/14/2016,100.110001
11/15/2016,100.190002
11/16/2016,100.410004
11/17/2016,100.889999
11/18/2016,101.209999
11/21/2016,101.050003
11/22/2016,101.040001
11/23/2016,101.699997
11/25/2016,101.489998
11/28/2016,101.330002
11/29/2016,100.93
11/30/2016,101.5
12/1/2016,101.040001
12/2/2016,100.769997
12/5/2016,100.139999
12/6/2016,100.489998
12/7/2016,100.230003
12/8/2016,101.07
12/9/2016,101.57
12/12/2016,100.959999
12/13/2016,101.029999
12/14/2016,102
12/15/2016,103.129997
12/16/2016,102.949997
12/19/2016,103.139999
12/20/2016,103.290001
12/21/2016,103.019997
12/22/2016,103.089996
12/23/2016,103.010002
12/27/2016,103.019997
12/28/2016,103.260002
12/29/2016,102.68
12/30/2016,102.389999
1/3/2017,103.209999
1/4/2017,102.699997
1/5/2017,101.519997
1/6/2017,102.220001
1/9/2017,101.93
1/10/2017,102.010002
1/11/2017,101.779999
1/12/2017,101.349998
1/13/2017,101.18
1/17/2017,100.330002
1/18/2017,100.93
1/19/2017,101.150002
1/20/2017,100.739998
1/23/2017,100.160004
1/24/2017,100.349998
1/25/2017,100.029999
1/26/2017,100.379997
1/27/2017,100.529999
1/30/2017,100.43
1/31/2017,99.510002
2/1/2017,99.639999
2/2/2017,99.849998
2/3/2017,99.870003
2/6/2017,99.910004
2/7/2017,100.260002
2/8/2017,100.279999
2/9/2017,100.650002
2/10/2017,100.800003
2/13/2017,100.959999
2/14/2017,101.25
2/15/2017,101.18
2/16/2017,100.440002
2/17/2017,100.949997
2/21/2017,101.370003
2/22/2017,101.330002
2/23/2017,101.050003
2/24/2017,101.089996
2/27/2017,101.129997
2/28/2017,101.120003
3/1/2017,101.779999
3/2/2017,102.199997
3/3/2017,101.540001
3/6/2017,101.639999
3/7/2017,101.809998
3/8/2017,102.07
3/9/2017,101.849998
3/10/2017,101.25
3/13/2017,101.379997
3/14/2017,101.699997
3/15/2017,100.739998
3/16/2017,100.269997
3/17/2017,100.300003
3/20/2017,100.410004
3/21/2017,99.809998
3/22/2017,99.68
3/23/2017,99.760002
3/24/2017,99.629997
3/27/2017,99.169998
3/28/2017,99.709999
3/29/2017,100
3/30/2017,100.410004
3/31/2017,100.349998
4/3/2017,100.540001
4/4/2017,100.540001
4/5/2017,100.559998
4/6/2017,100.669998
4/7/2017,101.18
4/10/2017,101.019997
4/11/2017,100.709999
4/12/2017,100.779999
4/13/2017,100.559998
4/17/2017,100.300003
4/18/2017,99.5
4/19/2017,99.739998
4/20/2017,99.779999
4/21/2017,99.980003
4/24/2017,99.089996
4/25/2017,98.82
4/26/2017,98.959999
4/27/2017,99.080002
4/28/2017,99.050003
5/1/2017,99.139999
5/2/2017,98.980003
5/3/2017,99.209999
5/4/2017,98.760002
5/5/2017,98.650002
5/8/2017,99.150002
5/9/2017,99.589996
5/10/2017,99.669998
5/11/2017,99.620003
5/12/2017,99.25
5/15/2017,98.910004
5/16/2017,98.110001
5/17/2017,97.419998
5/18/2017,97.879997
5/19/2017,97.150002
5/22/2017,96.980003
5/23/2017,97.349998
5/24/2017,97.239998
5/25/2017,97.25
5/26/2017,97.400002
5/30/2017,97.279999
5/31/2017,96.919998
6/1/2017,97.199997
6/2/2017,96.720001
6/5/2017,96.800003
6/6/2017,96.639999
6/7/2017,96.75
6/8/2017,96.919998
6/9/2017,97.269997
6/12/2017,97.139999
6/13/2017,96.980003
6/14/2017,96.940002
6/15/2017,97.43
6/16/2017,97.160004
6/19/2017,97.529999
6/20/2017,97.75
6/21/2017,97.559998
6/22/2017,97.540001
6/23/2017,97.300003
6/26/2017,97.43
6/27/2017,96.470001
6/28/2017,96.050003
6/29/2017,95.629997
6/30/2017,95.660004
7/3/2017,96.199997
7/5/2017,96.290001
7/6/2017,95.82
